[Header]
HydroSoftVersion=2.90
CreationDate=07-10-19 15:06:30
FileType=dat
DeviceType=HydroScat-6
DataSource=C:\carlos\bsi_database\iop\hs\HS6_035.RAW
CalSource=C:\carlos\bsi_database\iop\cal_files\HS100649 2016-3-29.cal
Serial=HS100649
Config=B2F0
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb394"
"bb470"
"bb420"
"bb700"
"bb532"
"bb620"
"fl470"
"fl700"
[ColumnHeadings]
Time,Depth,bb394,bb470,bb420,bb700,bb532,bb620,fl470,fl700,bb394uncorr,bb470uncorr,bb420uncorr,bb700uncorr,bb532uncorr,bb620uncorr,fl470uncorr,fl700uncorr,betabb394,betabb470,betabb420,betabb700,betabb532,betabb620,betafl470,betafl700,betabb394uncorr,betabb470uncorr,betabb420uncorr,betabb700uncorr,betabb532uncorr,betabb620uncorr,betafl470uncorr,betafl700uncorr
[Data]
42876.5574537037,5.585801,8.411446E-03,6.229619E-03,7.588662E-03,4.430324E-03,5.86701E-03,4.281367E-03,1.372637E-03,2.043171E-03,8.220623E-03,6.099007E-03,7.414343E-03,4.358541E-03,5.751317E-03,4.216026E-03,1.343811E-03,2.078068E-03,.0012989,9.457289E-04,1.163334E-03,6.578318E-04,8.808115E-04,6.392964E-04,1.979103E-04,3.060483E-04,1.27078E-03,9.264812E-04,1.137646E-03,6.472535E-04,8.637624E-04,6.296674E-04,1.979103E-04,3.060483E-04,
42876.5574537037,5.547101,8.15692E-03,5.961004E-03,7.783589E-03,4.098352E-03,5.634477E-03,4.40043E-03,1.319924E-03,2.043171E-03,7.979004E-03,5.841851E-03,7.599461E-03,4.036931E-03,5.527983E-03,4.331352E-03,1.293418E-03,2.078068E-03,1.261392E-03,9.061442E-04,1.19206E-03,6.089107E-04,8.465442E-04,6.568422E-04,1.904886E-04,3.060483E-04,1.235173E-03,8.885853E-04,1.164926E-03,5.998593E-04,8.308508E-04,6.466624E-04,1.904886E-04,3.060483E-04,
42876.5574537037,5.469701,8.493456E-03,5.961004E-03,7.98847E-03,4.221967E-03,5.743577E-03,4.448085E-03,1.440758E-03,2.108583E-03,8.298386E-03,5.841851E-03,7.793759E-03,4.15678E-03,5.632814E-03,4.377482E-03,1.411001E-03,2.143519E-03,1.310986E-03,9.061442E-04,1.222252E-03,6.271274E-04,8.626218E-04,6.638648E-04,2.078058E-04,3.156876E-04,1.282239E-03,8.885853E-04,1.193559E-03,6.17521E-04,8.462991E-04,6.534605E-04,2.078058E-04,3.156876E-04,
42876.5574652778,5.289101,9.239507E-03,7.332253E-03,8.004615E-03,4.219298E-03,6.233196E-03,4.677657E-03,1.446267E-03,2.255757E-03,9.003805E-03,7.14934E-03,7.809059E-03,4.154193E-03,6.10227E-03,4.599485E-03,1.411001E-03,2.290784E-03,1.420928E-03,1.108219E-03,1.224631E-03,6.26734E-04,9.347746E-04,6.976958E-04,2.078058E-04,3.373761E-04,1.386193E-03,1.081264E-03,1.195813E-03,6.171398E-04,9.154807E-04,6.86176E-04,2.078058E-04,3.373761E-04,
42876.5574652778,5.121401,9.257176E-03,7.386825E-03,8.617856E-03,4.825654E-03,6.523965E-03,5.242798E-03,1.463675E-03,2.255757E-03,9.020468E-03,7.201105E-03,8.388893E-03,4.740506E-03,6.380297E-03,5.144401E-03,1.427799E-03,2.290784E-03,1.423532E-03,1.116261E-03,1.315002E-03,7.160897E-04,9.77624E-04,7.809781E-04,2.102796E-04,3.373761E-04,1.388649E-03,1.088892E-03,1.281261E-03,7.035419E-04,9.564523E-04,7.664777E-04,2.102796E-04,3.373761E-04,
42876.5574652778,4.927901,9.115883E-03,7.506606E-03,.0087801,4.825654E-03,6.734071E-03,5.093062E-03,1.394763E-03,2.141288E-03,8.887161E-03,7.314655E-03,8.541883E-03,4.740506E-03,6.580842E-03,5.000243E-03,1.360608E-03,2.176245E-03,1.40271E-03,1.133912E-03,1.338911E-03,7.160897E-04,1.008586E-03,7.589121E-04,2.003841E-04,3.205073E-04,1.369004E-03,1.105626E-03,1.303806E-03,7.035419E-04,9.860056E-04,7.452338E-04,2.003841E-04,3.205073E-04,
42876.5574768518,5.044001,9.463471E-03,7.550669E-03,8.830434E-03,5.009878E-03,6.772305E-03,5.209842E-03,1.395711E-03,2.36205E-03,9.214875E-03,7.356401E-03,8.589311E-03,4.918124E-03,6.617304E-03,5.112686E-03,1.360608E-03,2.397141E-03,1.453932E-03,1.140406E-03,1.346328E-03,7.432381E-04,1.014221E-03,7.761215E-04,2.003841E-04,3.5304E-04,1.417298E-03,1.111777E-03,1.310795E-03,7.297167E-04,9.913789E-04,7.618041E-04,2.003841E-04,3.5304E-04,
42876.5574768518,5.263301,9.664148E-03,7.550669E-03,8.877535E-03,4.996456E-03,6.824895E-03,5.491723E-03,1.469449E-03,2.382491E-03,9.403727E-03,7.356401E-03,8.633677E-03,4.90519E-03,6.667441E-03,5.383702E-03,1.431998E-03,2.417595E-03,1.483505E-03,1.140406E-03,1.35327E-03,7.412601E-04,1.021971E-03,8.17661E-04,2.108981E-04,3.560523E-04,1.445128E-03,1.111777E-03,1.317333E-03,7.278107E-04,9.987673E-04,8.017425E-04,2.108981E-04,3.560523E-04,
42876.5574768518,5.443901,9.316089E-03,6.970162E-03,8.653534E-03,4.996456E-03,6.800988E-03,5.009281E-03,1.467006E-03,2.124935E-03,9.076013E-03,6.805352E-03,8.422551E-03,4.90519E-03,6.644651E-03,4.919515E-03,1.431998E-03,2.159882E-03,1.432213E-03,1.054859E-03,1.32026E-03,7.412601E-04,1.018448E-03,7.465658E-04,2.108981E-04,3.180975E-04,1.396835E-03,1.030572E-03,1.286221E-03,7.278107E-04,9.95409E-04,7.333373E-04,2.108981E-04,3.180975E-04,
42876.5574768518,5.611601,8.792597E-03,6.645793E-03,7.785202E-03,.0039562,5.86701E-03,4.287318E-03,1.421851E-03,2.124935E-03,8.581664E-03,6.49643E-03,7.600992E-03,3.898975E-03,5.751317E-03,4.221792E-03,1.390004E-03,2.159882E-03,1.355069E-03,1.007058E-03,1.192297E-03,5.879625E-04,8.808115E-04,6.401733E-04,2.047134E-04,3.180975E-04,1.323985E-03,9.850475E-04,1.165151E-03,5.795294E-04,8.637624E-04,6.305171E-04,2.047134E-04,3.180975E-04,
