[DateTime],DateTimeUTC,Millisecond,[GpsTime],Latitude,Longitude,SatelliteCount
6/1/2019 11:47,47:35.9,3449078,6/1/2019 11:47,50.1918,-66.4309,9
6/1/2019 11:48,48:00.7,3473935,6/1/2019 11:47,50.1918,-66.4308,9
6/1/2019 11:48,48:19.8,3493044,6/1/2019 11:48,50.1918,-66.4307,9
6/1/2019 11:48,48:39.7,3512950,6/1/2019 11:48,50.1918,-66.4306,9
6/1/2019 11:48,48:59.9,3533090,6/1/2019 11:48,50.1918,-66.4305,9
6/1/2019 11:49,49:14.8,3548010,6/1/2019 11:49,50.1918,-66.4304,9
6/1/2019 11:49,49:32.8,3566065,6/1/2019 11:49,50.1918,-66.4303,9
6/1/2019 11:49,49:50.9,3584123,6/1/2019 11:49,50.1918,-66.4302,9
6/1/2019 11:50,50:10.8,3604016,6/1/2019 11:50,50.1918,-66.4301,5
6/1/2019 11:50,50:25.0,3618217,6/1/2019 11:50,50.1918,-66.43,6
6/1/2019 11:50,50:39.8,3633065,6/1/2019 11:50,50.1918,-66.4299,6
6/1/2019 11:50,50:58.7,3651953,6/1/2019 11:50,50.1918,-66.4298,6
6/1/2019 11:51,51:15.7,3668924,6/1/2019 11:51,50.1918,-66.4297,6
6/1/2019 11:51,51:29.9,3683104,6/1/2019 11:51,50.1918,-66.4296,9
6/1/2019 11:51,51:44.8,3697976,6/1/2019 11:51,50.1918,-66.4295,9
6/1/2019 11:52,52:04.9,3718128,6/1/2019 11:52,50.1918,-66.4294,9
6/1/2019 11:52,52:18.9,3732064,6/1/2019 11:52,50.1918,-66.4293,9
6/1/2019 11:52,52:33.7,3746918,6/1/2019 11:52,50.1918,-66.4292,9
6/1/2019 11:52,52:53.9,3767069,6/1/2019 11:52,50.1918,-66.4291,9
6/1/2019 11:53,53:11.9,3785132,6/1/2019 11:53,50.1918,-66.429,9
6/1/2019 11:53,53:25.8,3799032,6/1/2019 11:53,50.1918,-66.4289,9
6/1/2019 11:53,53:32.9,3806065,6/1/2019 11:53,50.1917,-66.4289,9
6/1/2019 11:53,53:39.9,3813145,6/1/2019 11:53,50.1917,-66.4288,9
6/1/2019 11:53,53:59.9,3833094,6/1/2019 11:53,50.1917,-66.4287,9
6/1/2019 11:54,54:15.8,3848992,6/1/2019 11:54,50.1917,-66.4286,9
6/1/2019 11:54,54:27.8,3861031,6/1/2019 11:54,50.1917,-66.4285,9
6/1/2019 11:54,54:43.8,3876994,6/1/2019 11:54,50.1917,-66.4284,9
6/1/2019 11:54,54:57.9,3891130,6/1/2019 11:54,50.1916,-66.4284,9
6/1/2019 11:55,55:04.0,3897171,6/1/2019 11:55,50.1916,-66.4283,9
6/1/2019 11:55,55:15.7,3908930,6/1/2019 11:55,50.1916,-66.4282,9
6/1/2019 11:55,55:32.7,3925940,6/1/2019 11:55,50.1916,-66.4281,9
6/1/2019 11:55,55:52.9,3946090,6/1/2019 11:55,50.1916,-66.428,9
6/1/2019 11:56,56:08.8,3962054,6/1/2019 11:56,50.1916,-66.4279,9
6/1/2019 11:56,56:22.7,3975927,6/1/2019 11:56,50.1916,-66.4278,9
6/1/2019 11:56,56:39.7,3992950,6/1/2019 11:56,50.1916,-66.4277,9
6/1/2019 11:57,57:01.7,4014920,6/1/2019 11:57,50.1916,-66.4276,9
6/1/2019 11:57,57:16.9,4030106,6/1/2019 11:57,50.1916,-66.4275,9
6/1/2019 11:57,57:30.8,4043980,6/1/2019 11:57,50.1916,-66.4274,9
6/1/2019 11:57,57:46.7,4059942,6/1/2019 11:57,50.1916,-66.4273,9
6/1/2019 11:58,58:04.8,4077995,6/1/2019 11:58,50.1916,-66.4272,9
6/1/2019 11:58,58:17.9,4091087,6/1/2019 11:58,50.1916,-66.4271,9
6/1/2019 11:58,58:34.9,4108099,6/1/2019 11:58,50.1916,-66.427,9
6/1/2019 11:58,58:53.8,4127003,6/1/2019 11:58,50.1916,-66.4269,9
6/1/2019 11:59,59:10.8,4143974,6/1/2019 11:59,50.1916,-66.4268,9
6/1/2019 11:59,59:24.9,4158086,6/1/2019 11:59,50.1916,-66.4267,9
6/1/2019 11:59,59:42.9,4176143,6/1/2019 11:59,50.1916,-66.4266,10
6/1/2019 12:00,00:01.8,4194990,6/1/2019 12:00,50.1916,-66.4265,10
6/1/2019 12:00,00:18.9,4212071,6/1/2019 12:00,50.1916,-66.4264,10
6/1/2019 12:00,00:32.9,4226132,6/1/2019 12:00,50.1916,-66.4263,10
6/1/2019 12:00,00:49.9,4243148,6/1/2019 12:00,50.1916,-66.4262,10
6/1/2019 12:01,01:08.8,4261995,6/1/2019 12:01,50.1916,-66.4261,9
6/1/2019 12:01,01:21.9,4275148,6/1/2019 12:01,50.1916,-66.426,10
6/1/2019 12:01,01:24.7,4277953,6/1/2019 12:01,50.1915,-66.426,10
6/1/2019 12:01,01:39.9,4293144,6/1/2019 12:01,50.1915,-66.4259,10
6/1/2019 12:01,01:57.7,4310935,6/1/2019 12:01,50.1915,-66.4258,10
6/1/2019 12:02,02:13.9,4327162,6/1/2019 12:02,50.1915,-66.4257,10
6/1/2019 12:02,02:27.8,4341032,6/1/2019 12:02,50.1915,-66.4256,10
6/1/2019 12:02,02:44.8,4358050,6/1/2019 12:02,50.1915,-66.4255,10
6/1/2019 12:03,03:03.9,4377150,6/1/2019 12:03,50.1915,-66.4254,10
6/1/2019 12:03,03:19.9,4393110,6/1/2019 12:03,50.1915,-66.4253,9
6/1/2019 12:03,03:33.8,4406984,6/1/2019 12:03,50.1915,-66.4252,10
6/1/2019 12:03,03:51.8,4425049,6/1/2019 12:03,50.1915,-66.4251,9
6/1/2019 12:04,04:13.8,4447026,6/1/2019 12:04,50.1915,-66.425,9
6/1/2019 12:04,04:31.9,4465118,6/1/2019 12:04,50.1915,-66.4249,9
6/1/2019 12:04,04:45.8,4479027,6/1/2019 12:04,50.1915,-66.4248,9
6/1/2019 12:05,05:05.9,4499115,6/1/2019 12:05,50.1915,-66.4247,9
6/1/2019 12:05,05:21.9,4515079,6/1/2019 12:05,50.1915,-66.4246,10
6/1/2019 12:05,05:35.7,4528947,6/1/2019 12:05,50.1915,-66.4245,10
6/1/2019 12:05,05:52.0,4545178,6/1/2019 12:05,50.1914,-66.4245,10
6/1/2019 12:05,05:52.8,4546030,6/1/2019 12:05,50.1914,-66.4244,9
6/1/2019 12:06,06:10.8,4564018,6/1/2019 12:06,50.1915,-66.4244,10
6/1/2019 12:06,06:11.8,4565072,6/1/2019 12:06,50.1914,-66.4244,10
6/1/2019 12:06,06:13.0,4566183,6/1/2019 12:06,50.1914,-66.4243,10
6/1/2019 12:06,06:31.0,4584175,6/1/2019 12:06,50.1914,-66.4242,10
6/1/2019 12:06,06:44.8,4598043,6/1/2019 12:06,50.1914,-66.4241,10
6/1/2019 12:07,07:01.8,4615056,6/1/2019 12:07,50.1914,-66.424,10
6/1/2019 12:07,07:19.9,4633155,6/1/2019 12:07,50.1914,-66.4239,10
6/1/2019 12:07,07:38.0,4651174,6/1/2019 12:07,50.1914,-66.4238,9
6/1/2019 12:07,07:51.8,4665042,6/1/2019 12:07,50.1914,-66.4237,9
6/1/2019 12:08,08:12.8,4685984,6/1/2019 12:08,50.1914,-66.4236,9
6/1/2019 12:08,08:29.8,4702997,6/1/2019 12:08,50.1914,-66.4235,10
6/1/2019 12:08,08:42.9,4716083,6/1/2019 12:08,50.1914,-66.4234,10
6/1/2019 12:08,08:59.9,4733097,6/1/2019 12:08,50.1914,-66.4233,10
6/1/2019 12:09,09:17.9,4751160,6/1/2019 12:09,50.1914,-66.4232,9
6/1/2019 12:09,09:35.8,4769018,6/1/2019 12:09,50.1914,-66.4231,10
6/1/2019 12:09,09:48.8,4782047,6/1/2019 12:09,50.1914,-66.423,10
6/1/2019 12:10,10:05.8,4799043,6/1/2019 12:10,50.1914,-66.4229,9
6/1/2019 12:10,10:24.9,4818152,6/1/2019 12:10,50.1914,-66.4228,10
6/1/2019 12:10,10:39.9,4833105,6/1/2019 12:10,50.1915,-66.4228,9
6/1/2019 12:10,10:42.0,4835172,6/1/2019 12:10,50.1915,-66.4229,9
6/1/2019 12:10,10:48.8,4841977,6/1/2019 12:10,50.1915,-66.423,9
6/1/2019 12:10,10:53.8,4846981,6/1/2019 12:10,50.1915,-66.4231,9
6/1/2019 12:10,10:57.9,4851130,6/1/2019 12:10,50.1914,-66.4232,9
6/1/2019 12:11,11:04.7,4857950,6/1/2019 12:11,50.1913,-66.4232,9
6/1/2019 12:11,11:08.9,4862131,6/1/2019 12:11,50.1912,-66.4232,9
6/1/2019 12:11,11:13.9,4867129,6/1/2019 12:11,50.1911,-66.4232,9
6/1/2019 12:11,11:16.8,4869977,6/1/2019 12:11,50.1911,-66.4231,9
6/1/2019 12:11,11:17.8,4871021,6/1/2019 12:11,50.191,-66.4231,9
6/1/2019 12:11,11:21.7,4874969,6/1/2019 12:11,50.191,-66.423,9
6/1/2019 12:11,11:22.8,4875989,6/1/2019 12:11,50.1909,-66.423,9
6/1/2019 12:11,11:27.0,4880192,6/1/2019 12:11,50.1908,-66.4229,9
6/1/2019 12:11,11:29.8,4883062,6/1/2019 12:11,50.1907,-66.4229,9
6/1/2019 12:11,11:32.7,4885937,6/1/2019 12:11,50.1906,-66.4229,9
6/1/2019 12:11,11:35.9,4889083,6/1/2019 12:11,50.1905,-66.4229,9
6/1/2019 12:11,11:38.7,4891963,6/1/2019 12:11,50.1904,-66.4229,9
6/1/2019 12:11,11:40.8,4894049,6/1/2019 12:11,50.1903,-66.4229,9
6/1/2019 12:11,11:41.9,4895096,6/1/2019 12:11,50.1903,-66.4228,9
6/1/2019 12:11,11:44.8,4897983,6/1/2019 12:11,50.1902,-66.4228,9
6/1/2019 12:11,11:46.9,4900072,6/1/2019 12:11,50.1901,-66.4227,9
6/1/2019 12:11,11:49.7,4902955,6/1/2019 12:11,50.19,-66.4227,9
6/1/2019 12:11,11:51.8,4905048,6/1/2019 12:11,50.1899,-66.4226,9
6/1/2019 12:11,11:54.7,4907944,6/1/2019 12:11,50.1898,-66.4226,9
6/1/2019 12:11,11:56.8,4910015,6/1/2019 12:11,50.1897,-66.4226,9
6/1/2019 12:11,11:58.9,4912114,6/1/2019 12:11,50.1897,-66.4225,9
6/1/2019 12:11,11:59.9,4913156,6/1/2019 12:11,50.1896,-66.4225,9
6/1/2019 12:12,12:01.8,4914989,6/1/2019 12:12,50.1895,-66.4225,9
6/1/2019 12:12,12:05.0,4918202,6/1/2019 12:12,50.1894,-66.4224,9
6/1/2019 12:12,12:06.8,4919974,6/1/2019 12:12,50.1893,-66.4224,9
6/1/2019 12:12,12:08.8,4922065,6/1/2019 12:12,50.1892,-66.4224,9
6/1/2019 12:12,12:10.9,4924153,6/1/2019 12:12,50.1892,-66.4223,9
6/1/2019 12:12,12:11.7,4924932,6/1/2019 12:12,50.1891,-66.4223,9
6/1/2019 12:12,12:13.8,4927029,6/1/2019 12:12,50.189,-66.4223,9
6/1/2019 12:12,12:17.0,4930185,6/1/2019 12:12,50.1889,-66.4223,9
6/1/2019 12:12,12:17.7,4930958,6/1/2019 12:12,50.1889,-66.4222,9
6/1/2019 12:12,12:18.8,4932007,6/1/2019 12:12,50.1888,-66.4222,9
6/1/2019 12:12,12:22.0,4935167,6/1/2019 12:12,50.1887,-66.4222,9
6/1/2019 12:12,12:23.8,4936975,6/1/2019 12:12,50.1886,-66.4222,9
6/1/2019 12:12,12:25.9,4939084,6/1/2019 12:12,50.1885,-66.4222,9
6/1/2019 12:12,12:26.9,4940119,6/1/2019 12:12,50.1885,-66.4221,9
6/1/2019 12:12,12:28.8,4942021,6/1/2019 12:12,50.1884,-66.4221,9
6/1/2019 12:12,12:30.8,4944048,6/1/2019 12:12,50.1883,-66.4221,9
6/1/2019 12:12,12:33.7,4946947,6/1/2019 12:12,50.1882,-66.422,9
6/1/2019 12:12,12:35.8,4949018,6/1/2019 12:12,50.1881,-66.422,9
6/1/2019 12:12,12:38.9,4952156,6/1/2019 12:12,50.188,-66.422,9
6/1/2019 12:12,12:39.8,4953010,6/1/2019 12:12,50.1879,-66.422,9
6/1/2019 12:12,12:41.8,4955038,6/1/2019 12:12,50.1879,-66.4219,9
6/1/2019 12:12,12:42.9,4956151,6/1/2019 12:12,50.1878,-66.4219,9
6/1/2019 12:12,12:45.0,4958178,6/1/2019 12:12,50.1877,-66.4219,9
6/1/2019 12:12,12:47.8,4961060,6/1/2019 12:12,50.1876,-66.4219,9
6/1/2019 12:12,12:50.0,4963194,6/1/2019 12:12,50.1875,-66.4218,9
6/1/2019 12:12,12:52.8,4966049,6/1/2019 12:12,50.1874,-66.4218,9
6/1/2019 12:12,12:54.9,4968119,6/1/2019 12:12,50.1873,-66.4218,9
6/1/2019 12:12,12:56.7,4969955,6/1/2019 12:12,50.1872,-66.4218,9
6/1/2019 12:12,12:58.9,4972145,6/1/2019 12:12,50.1871,-66.4217,8
6/1/2019 12:13,13:01.7,4974927,6/1/2019 12:13,50.187,-66.4217,9
6/1/2019 12:13,13:03.8,4977024,6/1/2019 12:13,50.1869,-66.4217,9
6/1/2019 12:13,13:04.9,4978075,6/1/2019 12:13,50.1869,-66.4216,9
6/1/2019 12:13,13:05.9,4979120,6/1/2019 12:13,50.1868,-66.4216,9
